"Hier die indikatoren";;;"Unterschiedliche Nationalitäten";"Medianeinkommen";"Restaurants";"Kindertagesstätten";"Einfamilienhäuser"
"Hier die Einheiten";;;"Anzahl";"CHF";"Anzahl";"Anzahl";"%"
"Beschreibungen";"ID des Stadtquartiers";"Name des Stadtquartiers";"Anzahl vorkommende Nationalitäten in der Wohnbevölkerung der Stadtquartiere, Dez. 2012";"Steuerbares Medianeinkommen der steuerpflichtigen natürlichen Personen nach Stadtquartier, 2012";"Anzahl Verpflegungsbetriebe nach Stadtquartier, Dez. 2011";"Anzahl Kindertagesstätten  nach Stadtquartier, Dez. 2011. Nur Kitas, die der kantonalen Bewilligungspflicht unterstehen.";"Anteil der Einfamilienhäuser am gesamten Gebäudebestand, Dez. 2012"
"Datensaetze";11;"Rathaus";78;49100;179;2;2.9
;12;"Hochschulen";44;45000;57;4;1.4
;13;"Lindenhof";58;56500;66;0;0.9
;14;"City";50;38600;121;5;0.2
;21;"Wollishofen";111;46600;41;8;22.1
;23;"Leimbach";83;47450;10;6;42.8
;24;"Enge";99;55200;78;1;6.1
;31;"Alt-Wiedikon";111;48700;78;18;9.3
;33;"Friesenberg";114;41600;21;6;58.6
;34;"Sihlfeld";115;40000;121;8;0.6
;41;"Werd";86;41600;50;3;0
;42;"Langstrasse";109;38100;235;7;0.2
;44;"Hard";114;35000;48;5;0.3
;51;"Gewerbeschule";111;40200;113;8;3.4
;52;"Escher Wyss";69;52750;86;4;20.6
;61;"Unterstrass";124;47900;73;5;18.2
;63;"Oberstrass";102;57700;34;8;16.7
;71;"Fluntern";88;70000;16;4;18.8
;72;"Hottingen";99;59550;44;6;13.4
;73;"Hirslanden";81;52900;15;6;17.4
;74;"Witikon";99;58000;15;7;26.8
;81;"Seefeld";76;55200;53;6;0.4
;82;"Mühlebach";91;52400;42;5;5.7
;83;"Weinegg";82;51600;22;13;15.4
;91;"Albisrieden";116;47300;30;11;20.1
;92;"Altstetten";133;43100;106;15;15.7
;101;"Höngg";110;55000;38;9;16.9
;102;"Wipkingen";115;45300;35;10;10.2
;111;"Affoltern";123;44500;32;9;22.0
;115;"Oerlikon";131;46500;114;18;14.5
;119;"Seebach";126;41100;76;13;20.7
;121;"Saatlen";96;39200;6;4;52.5
;122;"Schwamendingen-Mitte";114;36300;26;8;12.4
;123;"Hirzenbach";111;36700;12;1;40.8
